Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:30,91356,6,30
아시아나항공,06:40,91356,6,40
대한항공,07:00,124746,7,0
제주항공,07:40,87289,7,40
티웨이항공,07:55,77967,7,55
아시아나항공,07:55,91356,7,55
대한항공,08:00,124746,8,0
이스타항공,08:10,73899,8,10
대한항공,08:10,125933,8,10
아시아나항공,08:20,95763,8,20
이스타항공,08:30,73899,8,30
티웨이항공,08:45,83390,8,45
아시아나항공,08:45,97967,8,45
이스타항공,08:50,84746,8,50
이스타항공,09:05,91187,9,5
대한항공,09:10,125933,9,10
아시아나항공,09:20,115933,9,20
에어부산,09:40,99831,9,40
제주항공,09:45,114407,9,45
이스타항공,09:50,115255,9,50
아시아나항공,09:50,125594,9,50
대한항공,10:10,125933,10,10
아시아나항공,10:20,178136,10,20
제주항공,11:15,132882,11,15
