Name,depart_time,price,depart_time_hour,depart_time_minute
대한항공,13:20,202882,13,20
대한항공,13:50,177967,13,50
아시아나항공,14:00,186780,14,0
아시아나항공,14:05,186780,14,5
아시아나항공,14:25,186780,14,25
아시아나항공,14:55,186780,14,55
대한항공,15:00,177967,15,0
아시아나항공,15:05,186780,15,5
대한항공,15:20,177967,15,20
제주항공,15:45,52204,15,45
아시아나항공,15:45,108984,15,45
아시아나항공,15:55,108984,15,55
대한항공,16:00,155085,16,0
제주항공,16:05,43729,16,5
대한항공,16:40,155085,16,40
제주항공,16:55,39323,16,55
티웨이항공,17:25,33899,17,25
아시아나항공,17:50,103560,17,50
티웨이항공,18:10,26441,18,10
에어부산,18:10,29831,18,10
제주항공,18:15,43729,18,15
대한항공,18:20,155085,18,20
티웨이항공,18:25,30678,18,25
아시아나항공,18:25,95763,18,25
아시아나항공,18:45,95763,18,45
티웨이항공,18:50,38306,18,50
대한항공,18:50,68136,18,50
아시아나항공,18:55,95763,18,55
제주항공,19:05,39323,19,5
대한항공,19:10,155085,19,10
아시아나항공,19:20,108984,19,20
대한항공,19:20,155085,19,20
제주항공,19:35,82882,19,35
대한항공,20:30,111187,20,30
아시아나항공,20:50,137967,20,50
아시아나항공,21:20,137967,21,20
