Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:30,61017,6,30
아시아나항공,06:40,59831,6,40
대한항공,07:00,100509,7,0
티웨이항공,07:55,34238,7,55
아시아나항공,07:55,59831,7,55
이스타항공,08:10,32204,8,10
아시아나항공,08:20,59831,8,20
이스타항공,08:30,34577,8,30
티웨이항공,08:45,32204,8,45
아시아나항공,08:45,54577,8,45
이스타항공,08:50,31356,8,50
이스타항공,09:05,34577,9,5
대한항공,09:10,100509,9,10
아시아나항공,09:20,59831,9,20
에어부산,09:40,34746,9,40
아시아나항공,09:40,122204,9,40
제주항공,09:45,37628,9,45
이스타항공,09:50,37797,9,50
아시아나항공,09:50,59831,9,50
티웨이항공,10:00,34238,10,0
대한항공,10:10,68136,10,10
아시아나항공,10:20,59831,10,20
제주항공,10:35,31865,10,35
제주항공,10:50,39153,10,50
티웨이항공,11:05,32204,11,5
대한항공,11:10,85933,11,10
티웨이항공,11:35,34238,11,35
이스타항공,11:35,37797,11,35
티웨이항공,11:40,34238,11,40
제주항공,11:40,37628,11,40
대한항공,11:40,100509,11,40
대한항공,12:00,69831,12,0
제주항공,12:05,41865,12,5
아시아나항공,12:10,59831,12,10
티웨이항공,12:15,34238,12,15
제주항공,12:20,41865,12,20
아시아나항공,12:35,61017,12,35
이스타항공,12:45,37797,12,45
대한항공,12:50,100509,12,50
이스타항공,13:00,41017,13,0
에어부산,13:10,38475,13,10
아시아나항공,13:10,61017,13,10
제주항공,13:25,50170,13,25
티웨이항공,13:30,41695,13,30
이스타항공,13:30,48306,13,30
대한항공,13:45,100509,13,45
제주항공,14:00,58645,14,0
아시아나항공,14:10,68645,14,10
아시아나항공,14:20,68645,14,20
대한항공,14:30,73560,14,30
이스타항공,14:45,56611,14,45
이스타항공,14:55,52543,14,55
티웨이항공,15:05,62034,15,5
대한항공,15:10,73560,15,10
대한항공,15:20,100509,15,20
대한항공,15:40,83051,15,40
티웨이항공,15:50,62034,15,50
아시아나항공,15:50,94746,15,50
아시아나항공,15:55,91017,15,55
대한항공,16:10,83051,16,10
에어부산,16:20,60848,16,20
티웨이항공,16:20,66272,16,20
제주항공,16:25,76780,16,25
아시아나항공,16:25,91017,16,25
에어부산,16:35,60848,16,35
대한항공,16:40,84238,16,40
아시아나항공,16:55,84068,16,55
아시아나항공,17:00,84068,17,0
대한항공,17:00,100509,17,0
티웨이항공,17:05,66272,17,5
제주항공,17:20,72543,17,20
이스타항공,17:35,67119,17,35
아시아나항공,17:40,84068,17,40
제주항공,17:50,76780,17,50
이스타항공,18:05,72373,18,5
대한항공,18:05,156611,18,5
대한항공,18:15,100509,18,15
이스타항공,18:25,72373,18,25
제주항공,18:40,74407,18,40
대한항공,19:00,91526,19,0
아시아나항공,19:00,94746,19,0
에어부산,19:20,71865,19,20
티웨이항공,19:25,72712,19,25
아시아나항공,19:30,84068,19,30
이스타항공,19:45,61865,19,45
대한항공,19:50,73560,19,50
아시아나항공,19:50,84068,19,50
티웨이항공,19:55,62034,19,55
제주항공,20:00,69153,20,0
에어부산,20:10,68306,20,10
아시아나항공,20:20,68645,20,20
이스타항공,20:25,67119,20,25
티웨이항공,20:30,58814,20,30
대한항공,20:30,75594,20,30
제주항공,20:50,58645,20,50
대한항공,20:50,68136,20,50
아시아나항공,20:50,68645,20,50
아시아나항공,20:55,68645,20,55
제주항공,21:05,54407,21,5
대한항공,21:05,66102,21,5
제주항공,21:10,54407,21,10
아시아나항공,21:10,91017,21,10
이스타항공,21:15,52543,21,15
제주항공,21:20,56102,21,20
