Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:40,181695,6,40
대한항공,07:00,115085,7,0
티웨이항공,07:55,73560,7,55
이스타항공,08:10,65594,8,10
대한항공,08:10,115085,8,10
아시아나항공,08:20,69492,8,20
이스타항공,08:30,76102,8,30
아시아나항공,08:45,69492,8,45
티웨이항공,08:45,73560,8,45
이스타항공,08:50,65594,8,50
이스타항공,09:05,69662,9,5
대한항공,09:10,115085,9,10
아시아나항공,09:20,84407,9,20
에어부산,09:40,68984,9,40
제주항공,09:45,74577,9,45
이스타항공,09:50,65594,9,50
티웨이항공,10:00,69323,10,0
대한항공,10:10,115085,10,10
아시아나항공,10:20,84407,10,20
대한항공,10:20,115085,10,20
제주항공,10:35,67289,10,35
제주항공,10:50,67289,10,50
티웨이항공,11:05,64916,11,5
대한항공,11:10,115085,11,10
티웨이항공,11:35,64916,11,35
이스타항공,11:35,65594,11,35
티웨이항공,11:40,64916,11,40
제주항공,11:40,69323,11,40
대한항공,11:40,113051,11,40
대한항공,12:00,93729,12,0
제주항공,12:05,72543,12,5
아시아나항공,12:10,84407,12,10
티웨이항공,12:15,69153,12,15
제주항공,12:20,74577,12,20
아시아나항공,12:35,84407,12,35
이스타항공,12:45,69662,12,45
대한항공,12:50,115085,12,50
이스타항공,13:00,67289,13,0
대한항공,13:00,90339,13,0
에어부산,13:10,68984,13,10
아시아나항공,13:10,91356,13,10
제주항공,13:25,78984,13,25
티웨이항공,13:30,72373,13,30
이스타항공,13:30,75085,13,30
대한항공,13:45,115085,13,45
제주항공,14:00,92543,14,0
아시아나항공,14:10,98136,14,10
아시아나항공,14:20,98136,14,20
대한항공,14:30,110000,14,30
이스타항공,14:45,80170,14,45
이스타항공,14:55,80170,14,55
티웨이항공,15:05,82204,15,5
대한항공,15:10,110000,15,10
대한항공,15:20,110000,15,20
대한항공,15:40,110000,15,40
티웨이항공,15:50,86441,15,50
아시아나항공,15:50,98136,15,50
아시아나항공,15:55,98136,15,55
대한항공,16:10,115085,16,10
에어부산,16:20,81526,16,20
티웨이항공,16:20,86441,16,20
제주항공,16:25,92543,16,25
아시아나항공,16:25,98136,16,25
아시아나항공,16:55,98136,16,55
아시아나항공,17:00,106272,17,0
대한항공,17:00,115085,17,0
티웨이항공,17:05,93899,17,5
제주항공,17:20,97967,17,20
대한항공,17:20,115085,17,20
이스타항공,17:35,85424,17,35
아시아나항공,17:40,116102,17,40
제주항공,17:50,97967,17,50
이스타항공,18:05,96441,18,5
대한항공,18:05,115085,18,5
대한항공,18:15,115085,18,15
이스타항공,18:25,96441,18,25
제주항공,18:40,98136,18,40
대한항공,18:40,115085,18,40
대한항공,19:00,115085,19,0
아시아나항공,19:00,116102,19,0
아시아나항공,19:30,116102,19,30
대한항공,19:50,115085,19,50
아시아나항공,19:50,116102,19,50
제주항공,20:00,98136,20,0
아시아나항공,20:20,106272,20,20
이스타항공,20:25,99492,20,25
티웨이항공,20:30,93899,20,30
대한항공,20:30,115085,20,30
티웨이항공,20:35,90848,20,35
제주항공,20:50,97967,20,50
아시아나항공,20:50,106272,20,50
대한항공,20:50,115085,20,50
아시아나항공,20:55,106272,20,55
제주항공,21:05,97967,21,5
대한항공,21:05,115085,21,5
제주항공,21:10,97967,21,10
이스타항공,21:15,88136,21,15
에어부산,21:20,94068,21,20
제주항공,21:20,98136,21,20
