Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:30,60000,6,30
아시아나항공,06:40,60000,6,40
대한항공,07:00,75424,7,0
제주항공,07:40,45933,7,40
티웨이항공,07:55,45763,7,55
아시아나항공,07:55,60000,7,55
대한항공,08:00,75424,8,0
이스타항공,08:10,52543,8,10
아시아나항공,08:20,60000,8,20
이스타항공,08:30,52543,8,30
티웨이항공,08:45,46780,8,45
아시아나항공,08:45,63390,8,45
이스타항공,08:50,56102,8,50
대한항공,09:10,115255,9,10
에어부산,09:40,64238,9,40
제주항공,09:45,60678,9,45
이스타항공,09:50,72034,9,50
아시아나항공,09:50,178306,9,50
티웨이항공,10:00,61695,10,0
대한항공,10:10,115255,10,10
제주항공,10:35,67289,10,35
대한항공,10:35,115255,10,35
대한항공,10:45,115255,10,45
제주항공,10:50,65085,10,50
티웨이항공,11:05,66102,11,5
대한항공,11:10,115255,11,10
제주항공,11:15,67289,11,15
티웨이항공,11:35,66102,11,35
이스타항공,11:35,76102,11,35
제주항공,11:40,67289,11,40
대한항공,11:40,170509,11,40
대한항공,11:50,310848,11,50
제주항공,12:05,67289,12,5
제주항공,12:20,69323,12,20
티웨이항공,12:45,69323,12,45
이스타항공,12:45,80509,12,45
이스타항공,13:00,80509,13,0
티웨이항공,13:05,69323,13,5
대한항공,13:05,156611,13,5
에어부산,13:10,81017,13,10
제주항공,13:25,97967,13,25
티웨이항공,13:30,76780,13,30
이스타항공,13:30,85933,13,30
아시아나항공,13:50,116102,13,50
제주항공,14:00,98136,14,0
이스타항공,14:45,108306,14,45
이스타항공,14:55,103390,14,55
티웨이항공,15:05,98136,15,5
아시아나항공,15:50,116102,15,50
아시아나항공,15:55,116102,15,55
에어부산,16:20,95763,16,20
티웨이항공,16:20,98136,16,20
에어부산,16:35,95763,16,35
아시아나항공,16:55,116102,16,55
아시아나항공,17:00,177628,17,0
제주항공,18:40,111187,18,40
이스타항공,19:45,108306,19,45
아시아나항공,19:50,178306,19,50
티웨이항공,19:55,95085,19,55
제주항공,20:00,97967,20,0
에어부산,20:10,89492,20,10
이스타항공,20:25,91526,20,25
티웨이항공,20:30,83221,20,30
대한항공,20:30,115255,20,30
제주항공,20:50,81865,20,50
아시아나항공,20:50,91356,20,50
대한항공,20:50,102712,20,50
아시아나항공,20:55,97458,20,55
티웨이항공,21:05,80000,21,5
제주항공,21:05,81865,21,5
대한항공,21:05,115255,21,5
제주항공,21:10,81865,21,10
아시아나항공,21:10,97458,21,10
이스타항공,21:15,85933,21,15
제주항공,21:20,81865,21,20
