Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,93051,6,5
이스타항공,06:10,100000,6,10
제주항공,06:15,92543,6,15
이스타항공,06:15,106780,6,15
티웨이항공,06:20,92882,6,20
제주항공,06:25,98306,6,25
아시아나항공,06:25,112373,6,25
에어부산,06:55,111356,6,55
티웨이항공,07:00,117119,7,0
제주항공,12:15,116611,12,15
제주항공,12:40,116611,12,40
티웨이항공,12:50,108814,12,50
이스타항공,12:55,126272,12,55
대한항공,13:10,126441,13,10
제주항공,13:15,104238,13,15
이스타항공,13:15,113221,13,15
티웨이항공,13:20,99323,13,20
대한항공,13:20,126441,13,20
제주항공,13:30,104238,13,30
대한항공,13:40,120509,13,40
대한항공,13:50,126441,13,50
아시아나항공,14:00,112373,14,0
아시아나항공,14:05,105424,14,5
아시아나항공,14:25,105424,14,25
티웨이항공,14:35,98136,14,35
이스타항공,14:35,113221,14,35
제주항공,14:40,116611,14,40
에어부산,14:55,103729,14,55
아시아나항공,14:55,127119,14,55
아시아나항공,15:05,127119,15,5
티웨이항공,15:15,93899,15,15
대한항공,15:20,163390,15,20
제주항공,15:25,116611,15,25
이스타항공,15:40,120848,15,40
아시아나항공,15:45,112373,15,45
제주항공,15:45,116611,15,45
아시아나항공,15:55,105424,15,55
이스타항공,15:55,118984,15,55
제주항공,16:05,116611,16,5
대한항공,16:25,126441,16,25
이스타항공,16:35,127797,16,35
대한항공,16:40,126441,16,40
제주항공,16:55,116611,16,55
티웨이항공,17:25,109831,17,25
아시아나항공,17:50,127119,17,50
티웨이항공,18:10,103560,18,10
에어부산,18:10,103729,18,10
이스타항공,18:10,126272,18,10
제주항공,18:15,116611,18,15
에어부산,18:20,103729,18,20
티웨이항공,18:25,99323,18,25
아시아나항공,18:25,127119,18,25
이스타항공,18:35,106780,18,35
아시아나항공,18:45,105424,18,45
티웨이항공,18:50,99323,18,50
대한항공,18:50,126441,18,50
아시아나항공,18:55,105424,18,55
제주항공,19:05,116611,19,5
이스타항공,19:25,127797,19,25
