Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:05,33051,6,5
이스타항공,06:10,44068,6,10
이스타항공,06:15,37797,6,15
제주항공,06:15,41865,6,15
아시아나항공,06:25,40848,6,25
제주항공,06:25,41865,6,25
티웨이항공,06:40,37458,6,40
아시아나항공,06:40,40848,6,40
대한항공,06:40,64407,6,40
이스타항공,06:50,41017,6,50
에어부산,06:55,44746,6,55
티웨이항공,07:00,41695,7,0
제주항공,07:00,45933,7,0
에어부산,07:20,41017,7,20
아시아나항공,07:25,51695,7,25
제주항공,07:40,54407,7,40
이스타항공,08:10,56611,8,10
티웨이항공,08:15,62034,8,15
에어부산,08:50,52204,8,50
티웨이항공,09:45,62034,9,45
이스타항공,09:50,56611,9,50
티웨이항공,10:30,51526,10,30
이스타항공,10:55,56611,10,55
에어부산,11:25,44746,11,25
제주항공,11:35,58645,11,35
티웨이항공,11:45,44068,11,45
이스타항공,11:50,52543,11,50
티웨이항공,12:50,42034,12,50
이스타항공,12:55,41017,12,55
이스타항공,13:15,37797,13,15
티웨이항공,13:20,42034,13,20
티웨이항공,13:25,37628,13,25
제주항공,13:30,50170,13,30
아시아나항공,14:00,51695,14,0
아시아나항공,14:05,40848,14,5
티웨이항공,14:05,34577,14,5
아시아나항공,14:25,40848,14,25
이스타항공,14:35,31356,14,35
제주항공,14:40,41865,14,40
에어부산,14:55,29831,14,55
아시아나항공,14:55,33051,14,55
대한항공,15:00,64407,15,0
아시아나항공,15:05,33051,15,5
티웨이항공,15:15,30000,15,15
제주항공,15:25,37628,15,25
이스타항공,15:40,31356,15,40
제주항공,15:45,37628,15,45
아시아나항공,15:45,40848,15,45
이스타항공,15:55,34577,15,55
아시아나항공,15:55,51695,15,55
제주항공,16:05,50170,16,5
이스타항공,16:35,31356,16,35
티웨이항공,17:25,24238,17,25
티웨이항공,17:40,24238,17,40
대한항공,17:40,59323,17,40
아시아나항공,17:50,33051,17,50
에어부산,18:10,23051,18,10
이스타항공,18:10,26780,18,10
티웨이항공,18:10,30000,18,10
제주항공,18:15,37628,18,15
에어부산,18:20,23051,18,20
대한항공,18:20,59323,18,20
아시아나항공,18:25,30170,18,25
이스타항공,18:35,26780,18,35
아시아나항공,18:45,33051,18,45
티웨이항공,18:50,30000,18,50
대한항공,18:50,59323,18,50
아시아나항공,18:55,33051,18,55
제주항공,19:05,33390,19,5
아시아나항공,19:20,33051,19,20
이스타항공,19:25,29492,19,25
제주항공,19:35,28645,19,35
이스타항공,19:45,29492,19,45
제주항공,20:35,33390,20,35
아시아나항공,20:50,33051,20,50
아시아나항공,21:20,33051,21,20
