Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,06:50,50848,6,50
아시아나항공,06:50,89662,6,50
이스타항공,07:00,65085,7,0
에어부산,07:30,65933,7,30
아시아나항공,07:30,89662,7,30
에어부산,07:55,72034,7,55
에어부산,12:00,72034,12,0
제주항공,12:20,76780,12,20
에어부산,13:20,56441,13,20
아시아나항공,13:20,89662,13,20
대한항공,13:50,79323,13,50
제주항공,14:30,51356,14,30
에어부산,14:40,39662,14,40
아시아나항공,14:40,89662,14,40
에어부산,15:00,42712,15,0
아시아나항공,15:00,89662,15,0
대한항공,15:05,66102,15,5
제주항공,15:30,51356,15,30
대한항공,16:20,60170,16,20
제주항공,16:55,35424,16,55
제주항공,17:05,41865,17,5
에어부산,17:35,72034,17,35
에어부산,17:55,30678,17,55
아시아나항공,17:55,89662,17,55
대한항공,19:10,58475,19,10
제주항공,19:30,41865,19,30
